txHash;from;to;value;from0;to0;value0;from1;to1;value1;from2;to2;value2;from3;to3;value3;from4;to4;value4
0xda9fbbd7ce42b0c4c4dd55ebd696d8a754be051f494cd8aaf4cce5de4e9d15db;0xc1286347b69ed80e640c8af18dace17df0a6dd7c;0xb27cd6335614476404051d876ec0243c8e4b4927;0;;;;;;;;;;;;;;;
0xc2bd1baa5810332c1b6124f5bf2b7e3c04f1bf7463f1dd83070a4445841cfe79;0xc1286347b69ed80e640c8af18dace17df0a6dd7c;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0;;;;;;;;;;;;;;;
0x6bb29c298b225729c42fbb7c9be1c4f4abd3aaff0f643bcbf3da365adcca1ee9;0xc1286347b69ed80e640c8af18dace17df0a6dd7c;0xeabd296bf9373419df8571eec8a4b8e1ad236602;0;;;;;;;;;;;;;;;
0x2a0f0e2e8eeadad56b16e47ff8ea9a1bfd1f00fee3b0a752fb3e51870611be69;0xc1286347b69ed80e640c8af18dace17df0a6dd7c;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0;;;;;;;;;;;;;;;
0x7e883fffd72a9901a8286a10268e33af6ca67f6ddbe033f33cd04fbb6f33b408;0xc1286347b69ed80e640c8af18dace17df0a6dd7c;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;9,8E+19;;;;;;;;;;;;;;;
0x23a0f99fb65d16b6cfdf585e551e831f671eecca04a63985469e3a0003977205;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;9,8E+19;;;;;;;;;;;;;;;
0x832061efd896fb4f99268d6fa79837a925673896e21e1d437e9e3e9ea53a4942;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;1E+19;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;4E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;1E+18;;;;;;
0x2088a8ec57f0990678253adbc056cb625044c679db7f46704646a57bf8710f00;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;1E+19;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;1,4E+19;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;1E+18;;;;;;
0xaa4657c09f180f8b6138a1021edf072d3ca5f06a9afd49901b9404d1763d54fd;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;1E+19;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;4E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;1E+18;;;;;;
0x5c60f217e917ee7ea2e55c38bc1cece30b3d74013af1005873a2cdbe82a9d98a;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;1E+19;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;4E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;1E+18;;;;;;
0x3919b7036cc832b1d5d4502609b7ddb3a03cd4304d188a49e3ecd9b743f0d233;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;1E+19;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;4E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;1E+18;;;;;;
0xdb4098ccfdde1248f3649a03e8598343dedf20b5f46faec64250805120995d6e;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;1E+19;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;4E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;1E+18;;;;;;
0x83d17691f4f909441d07d49f83c6e95942e4c2d6926a18562c5f756ed23003b5;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;1E+19;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;4E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;1E+18;;;;;;
0x321e33976a635e5157aac18df1a82033cbc313ec9da97119577e3df0a73f6eb8;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;1E+19;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;1,4E+19;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;1E+18;;;;;;
0xc8e8b69a147992b2cf3414e3453ff7e6a618b66faae02d42bb4bf2691c3ad28b;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;1E+19;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;4E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;1E+18;;;;;;
0xae9c47b1190d614e2a43aecf3cd3aac73ab852e13eb9a7162da9b1eef6c739c9;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;1E+19;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;4E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;1E+18;;;;;;
0xfc9765d559a43b18462a827555abbb373a2956b6df9ae8302373edfc7b54e972;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;1E+19;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;4E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;1E+18;;;;;;
0x6e69783cc839c7f38942affb9bc1d5df08837460a6cb60f1ab7438cc23c968d1;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;1E+19;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;4E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;1E+18;;;;;;
0xdc3c785afdfe22f0228190df6114765d63fd06cf28997fc6e12c13d00faea5ed;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;1E+19;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;4E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;1E+18;;;;;;
